Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
01:25.8,0.9717,0.0083,-0.0801,9.7046,0.9155,8.9722,129.5123,-84.5673,-155.083,lunge
01:25.8,0.9854,0.0503,-0.1035,-2.2583,-9.6436,2.8687,140.7184,-84.6112,-167.4152,lunge
01:26.0,0.9692,-0.0225,-0.083,-7.4463,2.0142,7.9956,145.4205,-84.8145,-174.4794,lunge
01:26.0,1.0098,-0.0073,-0.1196,-19.165,1.8921,1.1597,146.7059,-85.2539,-177.7972,lunge
01:26.2,0.9912,0.0195,-0.0854,1.77,1.0376,-1.8311,148.6505,-85.6,177.9016,lunge
01:26.3,0.9844,0.0054,-0.0825,-5.9814,4.2725,0.2441,146.1731,-85.6714,179.1156,lunge
01:26.4,1.0112,0.0083,-0.0796,3.6621,0.4272,-3.479,145.7776,-85.7428,178.1378,lunge
01:26.4,1.002,0.0571,-0.0791,7.9346,0.5493,0.5493,148.0133,-85.9955,175.2704,lunge
01:26.6,0.9907,0.0127,-0.0825,0.8545,0.4883,-0.3052,147.9529,-86.0669,174.2377,lunge
01:26.8,1.0063,0.0132,-0.0693,-0.8545,8.0566,-1.709,145.5249,-86.3196,175.6055,lunge
01:26.8,0.9692,0.0308,-0.0308,2.6245,13.1226,-6.2256,131.6656,-86.9238,-171.2933,lunge
01:26.8,1.0015,0.0098,-0.042,-15.0146,-1.709,1.3428,125.6561,-86.5503,-166.4978,lunge
01:26.8,0.9976,0.0288,-0.042,-6.1646,-0.5493,3.1738,128.8586,-86.5997,-171.3757,lunge
01:27.0,1.0073,0.0352,-0.0464,-4.0894,-2.5635,0.1831,133.2642,-86.6382,-177.1106,lunge
01:27.2,0.9897,0.021,-0.0571,2.8687,-2.3193,0,136.4832,-86.5778,178.6267,lunge
01:27.4,1.0063,0.0386,-0.0601,3.8452,-3.7842,-2.7466,139.6637,-86.2921,174.8199,lunge
01:27.4,1.0029,0.0425,-0.0596,2.8076,-1.3428,-1.0986,140.4053,-86.0779,173.6169,lunge
01:27.6,0.9995,0.0391,-0.0625,0.7324,-0.8545,-1.0376,140.0977,-86.0229,173.3972,lunge
01:27.6,0.9932,0.0469,-0.0693,3.2959,-1.1597,-1.4038,140.1526,-85.8362,172.9523,lunge
01:27.6,0.9941,0.043,-0.061,2.1362,0.1831,-0.9766,139.4659,-85.6824,173.3038,lunge
01:27.8,1,0.0459,-0.0703,-0.7324,-1.0376,-0.9155,140.3888,-85.545,171.8921,lunge
01:27.8,0.9971,0.0474,-0.0703,-1.2817,-1.5869,0.061,141.0809,-85.4407,170.6177,lunge
01:28.0,0.999,0.0425,-0.0762,-3.54,-0.7935,0.6104,142.3718,-85.3363,168.5687,lunge
01:28.0,1.0005,0.0322,-0.0752,-1.2207,0,-1.9531,141.5039,-85.1935,168.8983,lunge
01:28.2,0.9956,0.0352,-0.0801,2.8076,-1.3428,-2.1362,141.6467,-85.0452,168.3929,lunge
01:28.2,1.0044,0.0479,-0.0796,5.5542,7.019,-2.6855,139.6143,-85.0287,170.4364,lunge
01:28.4,0.9995,0.0645,-0.0615,4.5166,-2.0142,-2.0142,136.6205,-85.0836,173.7543,lunge
01:28.4,0.9976,0.0703,-0.0713,-2.8687,-2.3804,1.4648,138.8672,-84.809,171.3593,lunge
01:28.6,0.9995,0.0498,-0.0757,-3.0518,0.9155,0.5493,139.1693,-84.8804,170.4913,lunge
01:28.6,0.9951,0.0342,-0.0703,1.0376,2.0752,-1.9531,136.8677,-84.9847,172.4963,lunge
01:28.6,0.9917,0.0601,-0.0649,-1.77,-0.9766,0.6714,137.7521,-84.8969,171.3977,lunge
01:28.9,0.9771,0.0444,-0.0933,-7.3242,-0.7324,1.9531,139.3781,-84.754,169.0796,lunge
01:28.9,1.0049,0.0605,-0.0737,4.3945,9.3384,-0.9155,138.7024,-84.8859,169.5465,lunge
01:29.1,0.9976,0.063,-0.0386,16.7847,-3.2349,-8.3618,132.3358,-85.0287,176.6217,lunge
01:29.1,0.9976,0.0957,-0.0679,-10.8643,-2.9907,0.5493,133.2806,-84.5398,175.9515,lunge
01:29.3,0.9961,0.0488,-0.0889,-1.4038,-2.7466,0.8545,136.7523,-84.4244,171.4032,lunge
01:29.5,0.9961,0.061,-0.0786,-0.3052,3.479,0.6714,136.225,-84.5398,171.6614,lunge
01:29.5,0.9941,0.0752,-0.0576,2.7466,-1.4648,-1.9531,135.7361,-84.6442,172.2162,lunge
01:29.5,0.9971,0.0566,-0.0757,-1.2207,-2.5635,-0.9766,135.9998,-84.1937,171.9525,lunge
01:29.7,0.9961,0.0698,-0.0752,1.1597,2.0752,0.7935,136.0547,-84.1992,171.8317,lunge
01:29.7,0.9951,0.0649,-0.0762,3.1128,-1.5259,-1.2207,135.769,-84.1663,172.2382,lunge
01:29.8,0.9927,0.0771,-0.0762,0.2441,2.1362,1.2207,136.6425,-84.1937,171.535,lunge
01:29.9,0.9937,0.063,-0.0767,-1.709,1.2207,2.1362,136.3129,-84.364,171.8427,lunge
01:30.2,0.998,0.0605,-0.0771,-0.9155,-2.5024,1.1597,138.4387,-84.3585,169.574,lunge
01:30.2,0.9976,0.0596,-0.0801,2.3804,0.7324,0.4883,139.8944,-84.3146,168.1622,lunge
01:30.4,0.9971,0.0649,-0.0776,-0.4883,3.1128,0.4883,139.9054,-84.4354,168.1952,lunge
01:30.4,0.998,0.0601,-0.0757,0.1831,-2.1362,0.6104,140.9436,-84.4629,167.1021,lunge
01:30.4,0.9976,0.0586,-0.0786,1.77,0.4272,-0.6104,141.4655,-84.364,166.6351,lunge
01:30.5,0.999,0.0615,-0.0762,-0.061,0.8545,1.0376,141.1194,-84.4409,167.0197,lunge
01:30.6,0.9971,0.0557,-0.0757,-0.6104,-0.6104,0.7935,142.4927,-84.5563,165.4871,lunge
01:30.9,0.9966,0.0576,-0.0742,0.061,1.6479,0.4883,142.5311,-84.6332,165.4102,lunge
01:30.9,0.998,0.0513,-0.0742,0,-0.4272,0.8545,142.8662,-84.7046,165.0037,lunge
01:30.9,0.9971,0.0391,-0.0796,0.1831,-1.4038,0.5493,144.2725,-84.6826,163.537,lunge
01:31.1,0.998,0.0557,-0.0791,3.1128,-1.77,-0.7935,145.5688,-84.5453,162.4109,lunge
01:31.1,0.999,0.0527,-0.0806,0.6714,1.0376,-1.5869,144.8602,-84.4958,163.2074,lunge
01:31.3,0.999,0.0571,-0.0806,1.2207,0,-0.1831,144.7833,-84.4849,163.3447,lunge
01:31.3,0.9956,0.0513,-0.0776,1.2207,1.6479,-1.0376,143.7946,-84.4739,164.3939,lunge
01:31.5,0.9966,0.061,-0.0762,1.2817,2.2583,-1.77,142.0917,-84.4904,166.2396,lunge
01:31.5,0.9966,0.0562,-0.0776,0.7324,0.3052,-0.9155,140.9106,-84.4684,167.4756,lunge
01:31.8,0.998,0.0664,-0.0703,0.7324,0.5493,-0.1221,140.4712,-84.5123,167.9755,lunge
01:31.8,0.9976,0.0596,-0.0693,-0.061,2.3193,-1.4038,139.043,-84.5453,169.3652,lunge
01:32.0,0.9985,0.0542,-0.0669,-3.1738,1.6479,0.6104,137.3511,-84.6277,170.9308,lunge
01:32.0,0.9961,0.064,-0.0654,0.8545,1.1597,0.3662,136.582,-84.7705,171.5955,lunge
01:32.2,0.9995,0.0718,-0.0615,3.2959,-0.2441,-1.3428,136.4941,-84.7156,171.8207,lunge
01:32.2,0.9951,0.0703,-0.0601,1.6479,-0.2441,0,135.39,-84.6881,173.1335,lunge
01:32.2,0.9976,0.0781,-0.0601,0.8545,1.4038,-0.3662,135.1813,-84.6222,173.5236,lunge
01:32.5,0.9932,0.1338,-0.0293,2.4414,12.085,-5.8594,126.958,-84.9408,-177.7863,lunge
01:32.5,0.9878,0.064,-0.02,-5.3101,14.6484,-13.3057,107.9242,-84.787,-159.1479,lunge
01:32.5,0.9824,0.1016,0.0029,-2.6245,-7.019,-6.1646,99.3439,-83.9191,-151.3531,lunge
01:32.7,0.998,0.1812,0.0293,15.0146,-16.2964,3.1738,105.3534,-83.4686,-156.3245,lunge
01:32.8,0.9663,0.1167,-0.0811,12.207,-24.1089,18.7988,122.7777,-83.6774,-172.6831,lunge
01:32.8,0.9438,0.1572,-0.1709,11.5967,-11.9019,3.2349,131.6766,-83.7213,179.4287,lunge
01:32.9,0.9937,0.3271,-0.0317,1.0986,7.7515,-12.2681,129.6497,-82.9797,-176.1328,lunge
01:33.1,0.9165,0.043,-0.0776,-7.6904,11.6577,2.9907,133.6267,-82.0953,178.4949,lunge
01:33.1,0.9321,0.2266,-0.1616,21.4844,4.1504,14.4043,134.7363,-83.2764,179.6045,lunge
01:33.3,0.8687,0.1621,-0.1528,58.8379,5.5542,19.165,144.0253,-84.9957,173.0237,lunge
01:33.3,0.9028,0.314,0.1465,-3.7842,13.6108,31.9214,-178.8959,-87.8522,139.4275,lunge
01:33.4,2.8115,-0.0889,0.2119,1.8311,-1.5259,51.8188,-143.1299,-87.5555,97.3224,lunge
01:33.6,0.6309,-0.2515,0.1245,-51.5747,14.3433,12.6343,-64.1217,-85.8197,13.678,lunge
01:33.6,0.999,-0.3389,-0.0337,-22.4609,7.019,19.6533,-93.6969,-85.2924,36.4032,lunge
01:33.8,0.9756,-0.1509,0.042,-43.7622,-22.2778,16.1743,-78.2117,-83.5565,17.8912,lunge
01:33.8,1.0688,-0.1626,0.0034,-3.479,-4.3945,14.9536,-90.8295,-82.2766,25.4004,lunge
01:33.9,1.1016,-0.2026,-0.0435,-34.8511,-5.7373,2.1362,-97.7289,-81.2329,28.9764,lunge
01:34.0,1.2085,-0.3467,-0.1563,14.5874,-7.8125,10.8643,-103.9911,-79.8212,32.2229,lunge
01:34.2,0.9551,-0.2925,-0.1895,17.0288,30.0903,27.8931,-103.0353,-78.2941,31.5033,lunge
01:34.2,1.2539,-0.479,-0.1597,-59.1431,-64.0259,8.3618,-108.111,-78.8708,39.2596,lunge
01:34.4,1.2944,-0.1084,-0.0225,47.4243,-9.4604,12.5122,-114.9335,-76.0638,47.4225,lunge
01:34.4,1.4004,-0.2007,-0.1396,-2.2583,-45.9595,47.6074,-119.6906,-72.4603,52.1466,lunge
01:34.5,0.8828,-0.0903,-0.0845,-20.2637,-5.3711,11.8408,-119.2456,-69.4446,51.2787,lunge
01:34.7,0.6401,-0.3262,-0.2148,-5.0049,46.5088,-75.8057,-121.5582,-75.6189,52.9321,lunge
01:34.7,0.832,-0.1914,0.1108,25.3906,162.6587,-114.7461,-27.3395,-87.4786,-38.6279,lunge
01:34.8,0.7056,0.1343,0.1099,68.1763,10.8643,-62.3779,50.3943,-80.2826,-112.0056,lunge
01:34.9,0.416,0.4487,-0.1089,-205.0781,-63.2935,41.9312,57.6672,-80.8209,-123.1622,lunge
01:35.1,0.9956,-0.8511,0.1157,-15.9302,42.7246,-20.0806,79.8157,-83.2159,-158.2416,lunge
01:35.1,1.0337,1.3594,0.2402,-0.4883,108.5205,-105.0415,63.5779,-75.91,-132.3303,lunge
01:35.3,0.7798,0.0557,0.1357,-5.7983,73.4863,-59.2041,48.4442,-65.9949,-124.118,lunge
01:35.3,0.585,0.4185,0.3486,-19.104,17.5781,14.2212,42.4072,-61.6443,-116.9495,lunge
01:35.5,0.8999,0.3335,0.436,-26.6724,6.7749,-0.3052,39.0454,-60.9247,-115.4169,lunge
01:35.5,0.5518,0.0874,0.646,-34.1797,43.0908,-59.2651,38.7598,-57.7441,-117.735,lunge
01:35.7,0.3774,-0.3813,0.2095,125.7935,46.5088,-10.6201,35.1892,-52.4103,-116.1145,lunge
01:35.7,0.7129,0.1987,0.0493,-72.4487,-28.0762,-33.8135,46.4667,-49.5813,-121.2341,lunge
01:35.9,1.1855,0.4595,0.5884,58.5938,8.606,-26.8555,47.6971,-47.9059,-121.2561,lunge
01:35.9,0.8755,0.5527,0.4683,16.6626,7.2632,-42.2974,51.3336,-44.9506,-123.5852,lunge
01:36.2,0.8882,0.5977,0.5288,14.5264,14.8926,-48.9502,51.9214,-41.1273,-125.1837,lunge
01:36.2,0.6416,0.8281,0.5371,-0.9155,16.2964,-32.4097,52.5586,-37.2107,-126.167,lunge
